ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Age Stages,Purchased Bike
11434,Married,Male,"$170,000",5,Partial College,Professional,Yes,0,0-1 Miles,Europe,55,Middle Aged,No
17185,Married,Female,"$170,000",4,Partial College,Professional,No,3,5-10 Miles,Europe,48,Middle Aged,Yes
16009,Single,Male,"$170,000",1,Graduate Degree,Management,No,4,0-1 Miles,North America,66,Old,No
27974,Single,Male,"$160,000",2,High School,Management,Yes,4,0-1 Miles,Pacific,33,Young,Yes
14191,Married,Male,"$160,000",4,Partial College,Professional,No,2,10+ Miles,Europe,55,Middle Aged,Yes
16675,Single,Female,"$160,000",0,Graduate Degree,Management,No,3,0-1 Miles,Pacific,47,Middle Aged,Yes
15922,Married,Male,"$150,000",2,High School,Professional,Yes,4,0-1 Miles,Europe,48,Middle Aged,No
12705,Married,Male,"$150,000",0,Bachelors,Management,Yes,4,0-1 Miles,Pacific,37,Middle Aged,Yes
23608,Married,Female,"$150,000",3,High School,Professional,Yes,3,0-1 Miles,Europe,51,Middle Aged,Yes
11292,Single,Male,"$150,000",1,Partial College,Professional,No,3,0-1 Miles,North America,44,Middle Aged,Yes
20567,Married,Male,"$130,000",4,Partial College,Professional,No,4,5-10 Miles,Europe,61,Old,Yes
24857,Married,Female,"$130,000",3,High School,Professional,Yes,4,0-1 Miles,Europe,52,Middle Aged,No
12678,Single,Female,"$130,000",4,High School,Management,Yes,4,0-1 Miles,Pacific,31,Young,No
17191,Single,Male,"$130,000",3,Partial College,Professional,No,3,0-1 Miles,Europe,51,Middle Aged,Yes
29191,Single,Female,"$130,000",1,Graduate Degree,Management,No,1,0-1 Miles,Pacific,36,Middle Aged,Yes
12664,Married,Female,"$130,000",5,Partial College,Professional,Yes,4,0-1 Miles,Europe,59,Middle Aged,No
17203,Married,Female,"$130,000",4,Partial College,Professional,Yes,4,5-10 Miles,Europe,61,Old,Yes
28918,Married,Female,"$130,000",4,High School,Management,No,4,10+ Miles,Europe,58,Middle Aged,No
11249,Married,Female,"$130,000",3,Partial College,Professional,Yes,3,0-1 Miles,Europe,51,Middle Aged,Yes
18172,Married,Male,"$130,000",4,High School,Professional,Yes,3,0-1 Miles,Europe,55,Middle Aged,No
15758,Married,Male,"$130,000",0,Graduate Degree,Management,Yes,0,5-10 Miles,Pacific,48,Middle Aged,No
19066,Married,Male,"$130,000",4,Partial College,Professional,No,3,10+ Miles,Europe,54,Middle Aged,No
18160,Married,Male,"$130,000",3,High School,Professional,Yes,4,5-10 Miles,Europe,51,Middle Aged,Yes
13082,Single,Male,"$130,000",0,Graduate Degree,Management,Yes,0,2-5 Miles,Pacific,48,Middle Aged,Yes
12133,Married,Female,"$130,000",3,Partial College,Professional,Yes,3,5-10 Miles,Europe,50,Middle Aged,Yes
18140,Married,Male,"$130,000",3,Partial College,Professional,No,3,5-10 Miles,Europe,51,Middle Aged,Yes
22821,Married,Female,"$130,000",3,Partial College,Professional,Yes,4,0-1 Miles,Europe,52,Middle Aged,No
14278,Married,Female,"$130,000",0,Graduate Degree,Management,Yes,1,10+ Miles,Pacific,48,Middle Aged,No
20339,Married,Female,"$130,000",1,Bachelors,Management,Yes,4,2-5 Miles,North America,44,Middle Aged,Yes
13453,Married,Female,"$130,000",3,Bachelors,Management,Yes,3,0-1 Miles,North America,45,Middle Aged,Yes
18935,Married,Female,"$130,000",0,Graduate Degree,Management,Yes,3,1-2 Miles,North America,40,Middle Aged,No
